Ingredient 1,Ingredient 2,Ingredient 3,Classification Output
Pumpkin,Allspice,Bay Leaf,Highly Compatible
Pumpkin,Cinnamon,Ginger,Highly Compatible
Pumpkin,Pasta,Butter,Moderately Compatible
Pumpkin,Apples,Curry,Moderately Compatible
Pumpkin,Brown Sugar,Pine Nuts,Highly Compatible
Pumpkin,Garlic,Butter,Highly Compatible
Pumpkin,Chile Peppers,Garlic,Moderately Compatible
Pumpkin,Cream Cheese,Orange,Compatible
Pumpkin,Pumpkin Seeds,Cream Cheese,Highly Compatible
Pumpkin,Honey,Balsamic Vinegar,Highly Compatible
Pumpkin,Olive Oil,Rosemary,Highly Compatible
Mushroom,Thyme,Garlic,Highly Compatible
Mushroom,Butter,Sage,Highly Compatible
Mushroom,Onion,Rosemary,Moderately Compatible
Mushroom,Cream,Parmesan Cheese,Highly Compatible
Mushroom,Red Wine,Shallots,Highly Compatible
Mushroom,Spinach,Feta Cheese,Moderately Compatible
Mushroom,Balsamic Vinegar,Cherry Tomatoes,Compatible
Mushroom,Soy Sauce,Ginger,Highly Compatible
Mushroom,Lemon,Dill,Highly Compatible
Mushroom,Bacon,Cheddar Cheese,Moderately Compatible
Mushroom,Olive Oil,Thyme,Moderately Compatible
Mushroom,Cream Cheese,Chives,Highly Compatible
Mushroom,Garlic,Lemon Zest,Highly Compatible
Mushroom,White Wine,Tarragon,Moderately Compatible
Mushroom,Pesto,Sun-dried Tomatoes,Highly Compatible
Mushroom,Soy Sauce,Green Onions,Highly Compatible
Mushroom,Blue Cheese,Walnuts,Moderately Compatible
Mushroom,Tomato,Basil,Moderately Compatible
Mushroom,Dijon Mustard,Thyme,Highly Compatible
Mushroom,Cream,Nutmeg,Highly Compatible
Mushroom,Olive Oil,Garlic,Highly Compatible
Mushroom,Caramelized Onions,Gruyere Cheese,Moderately Compatible
Mushroom,Cumin,Coriander,Highly Compatible
Mushroom,Spinach,Lemon,Moderately Compatible
Mushroom,Parmesan Cheese,Lemon Pepper,Highly Compatible
Mushroom,Soy Sauce,Sesame Seeds,Moderately Compatible
Mushroom,Sriracha,Green Onions,Highly Compatible
Mushroom,Gouda Cheese,Thyme,Moderately Compatible
Mushroom,Basil,Pine Nuts,Highly Compatible
Mushroom,Honey,Mustard,Moderately Compatible
Tomato,Basil,Mozzarella Cheese,Highly Compatible
Tomato,Olive Oil,Garlic,Highly Compatible
Tomato,Balsamic Vinegar,Red Onion,Highly Compatible
Tomato,Feta Cheese,Kalamata Olives,Highly Compatible
Tomato,Avocado,Cilantro,Highly Compatible
Tomato,Goat Cheese,Honey,Moderately Compatible
Tomato,Capers,Anchovies,Moderately Compatible
Tomato,Spinach,Parmesan Cheese,Highly Compatible
Tomato,Garlic,Rosemary,Moderately Compatible
Tomato,Pesto,Pine Nuts,Highly Compatible
Tomato,Red Pepper,Cumin,Highly Compatible
Tomato,Red Wine,Thyme,Moderately Compatible
Tomato,Dijon Mustard,Shallots,Highly Compatible
Tomato,Corn,Black Beans,Moderately Compatible
Tomato,Cheddar Cheese,Jalapeno,Highly Compatible
Tomato,Cucumber,Red Onion,Highly Compatible
Tomato,Basil,Mozzarella Sticks,Highly Compatible
Tomato,Garlic,Olive Tapenade,Highly Compatible
Tomato,Cream Cheese,Smoked Salmon,Highly Compatible
Tomato,Feta Cheese,Watermelon,Moderately Compatible
Tomato,Pesto,Sun-dried Tomatoes,Highly Compatible
Tomato,Avocado,Red Onion,Moderately Compatible
Tomato,Brie Cheese,Arugula,Highly Compatible
Tomato,Cilantro,Lime,Highly Compatible
Tomato,Buffalo Mozzarella,Prosciutto,Highly Compatible
Tomato,Roasted Garlic,Balsamic Glaze,Highly Compatible
Tomato,Ricotta Cheese,Lemon Zest,Moderately Compatible
Tomato,Grilled Zucchini,Pesto,Highly Compatible
Tomato,Smoked Paprika,Queso Fresco,Highly Compatible
Tomato,Sundried Tomato Pesto,Basil,Highly Compatible
Tomato,Shrimp,Lemon,Highly Compatible
Tomato,Artichoke Hearts,Olives,Highly Compatible
Tomato,Hummus,Cucumber,Moderately Compatible
Tomato,Basil,Garlic Butter,Highly Compatible
Tomato,Ricotta Salata,Pine Nuts,Moderately Compatible
Tomato,Feta Cheese,Dill,Highly Compatible
Tomato,Goat Cheese,Pear,Highly Compatible
Tomato,Smoked Salmon,Cream Cheese,Highly Compatible
Tomato,Red Pepper Flakes,Parmesan Cheese,Moderately Compatible
Tomato,Caprese Salad,Balsamic Glaze,Highly Compatible
Tomato,Mozzarella Balls,Green Pesto,Highly Compatible
Tomato,Goat Cheese,Pomegranate Seeds,Moderately Compatible
Tomato,Roasted Eggplant,Tahini,Highly Compatible
Tomato,Buffalo Sauce,Blue Cheese,Highly Compatible
Tomato,Cheddar Cheese,Bacon,Highly Compatible
Tomato,Cucumber,Dill,Moderately Compatible
Tomato,Pepperoni,Red Onion,Highly Compatible
Cucumber,Tomato,Red Onion,Highly Compatible
Cucumber,Feta Cheese,Kalamata Olives,Highly Compatible
Cucumber,Dill,Greek Yogurt,Highly Compatible
Cucumber,Avocado,Lime,Highly Compatible
Cucumber,Smoked Salmon,Cream Cheese,Highly Compatible
Cucumber,Mint,Watermelon,Moderately Compatible
Cucumber,Red Pepper,Hummus,Highly Compatible
Cucumber,Radish,Cilantro,Highly Compatible
Cucumber,Cherry Tomatoes,Mozzarella,Highly Compatible
Cucumber,Garlic,Lemon,Highly Compatible
Cucumber,Tzatziki Sauce,Red Onion,Highly Compatible
Cucumber,Strawberries,Balsamic Glaze,Moderately Compatible
Cucumber,Goat Cheese,Walnuts,Moderately Compatible
Cucumber,Feta Cheese,Spinach,Highly Compatible
Cucumber,Yogurt,Berries,Moderately Compatible
Cucumber,Red Onion,Avocado,Moderately Compatible
Cucumber,Cream Cheese,Chives,Highly Compatible
Cucumber,Dijon Mustard,Honey,Moderately Compatible
Cucumber,Pineapple,Jalapeno,Moderately Compatible
Cucumber,Balsamic Vinegar,Tomato,Highly Compatible
